word,x1,x2,x3,x4,x5,score,uni_len
fairs,847,4103,1668,1225,3767,11610,5
dalen,1128,4103,1603,3252,1522,11608,5
wants,596,4103,1757,1385,3767,11608,5
hairs,844,4103,1668,1225,3767,11607,5
ports,1184,3069,2201,1385,3767,11606,5
gorey,965,3069,2201,3252,2116,11603,5
coals,1512,3069,1959,1295,3767,11602,5
cagey,1512,4103,616,3252,2116,11599,5
halos,844,4103,1603,1282,3767,11599,5
marne,1225,4103,2201,1391,2679,11599,5
calms,1512,4103,1603,612,3767,11597,5
malus,1225,4103,1603,899,3767,11597,5
ropes,948,3069,560,3252,3767,11596,5
boley,1555,3069,1603,3252,2116,11595,5
canel,1512,4103,1757,3252,971,11595,5
marte,1225,4103,2201,1385,2679,11593,5
maids,1225,4103,1668,829,3767,11592,5
bides,1555,2239,774,3252,3767,11587,5
polis,1184,3069,1603,1963,3767,11586,5
baned,1555,4103,1757,3252,917,11584,5
lacis,1046,4103,701,1963,3767,11580,5
boars,1555,3069,1959,1225,3767,11575,5
menis,1225,2863,1757,1963,3767,11575,5
sande,2206,4103,1757,829,2679,11574,5
malie,1225,4103,1603,1963,2679,11573,5
gadis,965,4103,774,1963,3767,11572,5
salem,2206,4103,1603,3252,406,11570,5
sonet,2206,3069,1757,3252,1284,11568,5
marys,1225,4103,2201,271,3767,11567,5
santy,2206,4103,1757,1385,2116,11567,5
buras,1555,1824,2201,2214,3767,11561,5
gaols,965,4103,1426,1295,3767,11556,5
palus,1184,4103,1603,899,3767,11556,5
coley,1512,3069,1603,3252,2116,11552,5
parte,1184,4103,2201,1385,2679,11552,5
gaels,965,4103,1421,1295,3767,11551,5
loves,1046,3069,417,3252,3767,11551,5
dorts,1128,3069,2201,1385,3767,11550,5
baiel,1555,4103,1668,3252,971,11549,5
lanie,1046,4103,1757,1963,2679,11548,5
runes,948,1824,1757,3252,3767,11548,5
nards,647,4103,2201,829,3767,11547,5
harks,844,4103,2201,628,3767,11543,5
labis,1046,4103,664,1963,3767,11543,5
caned,1512,4103,1757,3252,917,11541,5
votes,404,3069,1048,3252,3767,11540,5
beans,1555,2863,1959,1391,3767,11535,5
penis,1184,2863,1757,1963,3767,11534,5
mites,1225,2239,1048,3252,3767,11531,5
farms,847,4103,2201,612,3767,11530,5
mozes,1225,3069,217,3252,3767,11530,5
beats,1555,2863,1959,1385,3767,11529,5
harms,844,4103,2201,612,3767,11527,5
sated,2206,4103,1048,3252,917,11526,5
wains,596,4103,1668,1391,3767,11525,5
haets,844,4103,1421,1385,3767,11520,5
tanks,1264,4103,1757,628,3767,11519,5
waits,596,4103,1668,1385,3767,11519,5
bices,1555,2239,701,3252,3767,11514,5
tavis,1264,4103,417,1963,3767,11514,5
nodes,647,3069,774,3252,3767,11509,5
niles,647,2239,1603,3252,3767,11508,5
kamis,789,4103,885,1963,3767,11507,5
talcs,1264,4103,1603,770,3767,11507,5
tangs,1264,4103,1757,612,3767,11503,5
lands,1046,4103,1757,829,3767,11502,5
wards,596,4103,2201,829,3767,11496,5
tries,1264,1543,1668,3252,3767,11494,5
hopes,844,3069,560,3252,3767,11492,5
salue,2206,4103,1603,899,2679,11490,5
narcs,647,4103,2201,770,3767,11488,5
terns,1264,2863,2201,1391,3767,11486,5
barse,1555,4103,2201,945,2679,11483,5
laius,1046,4103,1668,899,3767,11483,5
lowes,1046,3069,349,3252,3767,11483,5
baten,1555,4103,1048,3252,1522,11480,5
manks,1225,4103,1757,628,3767,11480,5
nails,647,4103,1668,1295,3767,11480,5
denis,1128,2863,1757,1963,3767,11478,5
kaons,789,4103,1426,1391,3767,11476,5
mavis,1225,4103,417,1963,3767,11475,5
mauts,1225,4103,990,1385,3767,11470,5
zaxes,176,4103,170,3252,3767,11468,5
liras,1046,2239,2201,2214,3767,11467,5
malet,1225,4103,1603,3252,1284,11467,5
parle,1184,4103,2201,1295,2679,11462,5
garbs,965,4103,2201,423,3767,11459,5
toney,1264,3069,1757,3252,2116,11458,5
wiles,596,2239,1603,3252,3767,11457,5
auris,1698,1824,2201,1963,3767,11453,5
roves,948,3069,417,3252,3767,11453,5
ranie,948,4103,1757,1963,2679,11450,5
salep,2206,4103,1603,3252,285,11449,5
betas,1555,2863,1048,2214,3767,11447,5
comas,1512,3069,885,2214,3767,11447,5
butes,1555,1824,1048,3252,3767,11446,5
joris,446,3069,2201,1963,3767,11446,5
galen,965,4103,1603,3252,1522,11445,5
lancs,1046,4103,1757,770,3767,11443,5
kolas,789,3069,1603,2214,3767,11442,5
poxes,1184,3069,170,3252,3767,11442,5
harps,844,4103,2201,526,3767,11441,5
carse,1512,4103,2201,945,2679,11440,5
beals,1555,2863,1959,1295,3767,11439,5
lapis,1046,4103,560,1963,3767,11439,5
cados,1512,4103,774,1282,3767,11438,5
maier,1225,4103,1668,3252,1190,11438,5
dites,1128,2239,1048,3252,3767,11434,5
pavis,1184,4103,417,1963,3767,11434,5
dozes,1128,3069,217,3252,3767,11433,5
baled,1555,4103,1603,3252,917,11430,5
wails,596,4103,1668,1295,3767,11429,5
korey,789,3069,2201,3252,2116,11427,5
palet,1184,4103,1603,3252,1284,11426,5
saice,2206,4103,1668,770,2679,11426,5
corie,1512,3069,2201,1963,2679,11424,5
balei,1555,4103,1603,3252,910,11423,5
pangs,1184,4103,1757,612,3767,11423,5
melis,1225,2863,1603,1963,3767,11421,5
siren,2206,2239,2201,3252,1522,11420,5
money,1225,3069,1757,3252,2116,11419,5
vines,404,2239,1757,3252,3767,11419,5
